Day,Month,Year,daily_unit_sales,previous_year_daily_unit_sales,percentage_difference_daily_unit_sales,daily_unit_sales_kg,previous_year_daily_unit_sales_kg,percentage_difference_daily_unit_sales_kg,daily_unit_returns_kg,previous_year_daily_unit_returns_kg,points_of_distribution,previous_year_points_of_distribution
7,August,2020,"3,581",,,"2,149",,16.25%,,,662,
8,August,2020,"1,225",,,735,,26.07%,,,447,
9,August,2020,"1,866",,,"1,120",,2.51%,,,21,
10,August,2020,"3,457",,,"2,074",,16.09%,,,793,
11,August,2020,"2,395",,,"1,437",,21.53%,,,686,
12,August,2020,"2,354",,,"1,412",,25.76%,,,689,
13,August,2020,"5,061",,,"3,037",,12.76%,,,731,
14,August,2020,"1,799",,,"1,079",,24.00%,,,818,
15,August,2020,109,,,65,,12.80%,,,57,
16,August,2020,"1,264",,,758,,0.47%,,,14,
17,August,2020,"3,464",,,"2,078",,13.40%,,,716,
18,August,2020,"2,295",,,"1,377",,22.96%,,,698,
19,August,2020,"2,765",,,"1,659",,19.95%,,,710,
20,August,2020,"4,912",,,"2,947",,11.53%,,,634,
21,August,2020,"2,381",,,"1,429",,21.32%,,,716,
22,August,2020,"1,504",,,902,,19.91%,,,476,
23,August,2020,"1,149",,,689,,0.35%,,,18,
24,August,2020,"3,210",,,"1,926",,20.49%,,,909,
25,August,2020,"2,663",,,"1,598",,21.93%,,,734,
26,August,2020,"3,983",,,"2,390",,14.55%,,,700,
27,August,2020,"3,318",,,"1,991",,16.23%,,,718,
28,August,2020,"3,482",,,"2,089",,18.64%,,,951,
29,August,2020,"1,566",,,940,,22.63%,,,486,
30,August,2020,"1,338",,,803,,1.91%,,,18,
31,August,2020,"3,850",,,"2,310",,16.86%,,,1751,
1,September,2020,"2,795",,,"1,677",,21.97%,,,647,
2,September,2020,"5,046",,,"3,028",,11.88%,,,631,
3,September,2020,"3,990",,,"2,394",,15.27%,,,649,
4,September,2020,"3,293",,,"1,976",,17.18%,,,660,
5,September,2020,"1,615",,,969,,23.57%,,,504,
6,September,2020,"1,995",,,"1,197",,1.04%,,,18,
7,September,2020,"3,578",,,"2,147",,15.53%,,,924,
8,September,2020,"2,637",,,"1,582",,20.31%,,,651,
9,September,2020,"5,721",,,"3,433",,9.72%,,,685,
10,September,2020,"3,444",,,"2,066",,15.88%,,,696,
11,September,2020,"2,923",,,"1,754",,15.86%,,,828,
12,September,2020,"1,669",,,"1,001",,22.73%,,,514,
13,September,2020,"2,654",,,"1,592",,0.45%,,,20,
14,September,2020,"4,688",,,"2,813",,14.04%,,,937,
15,September,2020,"4,908",,,"2,945",,11.42%,,,840,
16,September,2020,"3,645",,,"2,187",,15.39%,,,838,
17,September,2020,"3,055",,,"1,833",,17.03%,,,806,
18,September,2020,"3,881",,,"2,329",,18.28%,,,979,
19,September,2020,"1,913",,,"1,148",,23.42%,,,499,
20,September,2020,"1,130",,,678,,0.88%,,,16,
21,September,2020,"4,960",,,"2,976",,13.54%,,,1126,
22,September,2020,"2,617",,,"1,570",,19.92%,,,864,
23,September,2020,"4,094",,,"2,456",,13.92%,,,778,
24,September,2020,"3,637",,,"2,182",,15.52%,,,705,
25,September,2020,"3,428",,,"2,057",,16.59%,,,765,
26,September,2020,"1,603",,,962,,25.65%,,,510,
27,September,2020,"1,440",,,864,,2.70%,,,21,
28,September,2020,"4,087",,,"2,452",,16.04%,,,902,
29,September,2020,"2,422",,,"1,453",,22.40%,,,810,
30,September,2020,"5,544",,,"3,326",,11.31%,,,2099,
1,October,2020,"4,008",,,"2,405",,16.81%,,,587,
2,October,2020,"3,760",,,"2,256",,16.80%,,,694,
3,October,2020,"1,872",,,"1,123",,21.64%,,,538,
4,October,2020,"3,351",,,"2,011",,1.67%,,,28,
5,October,2020,"4,196",,,"2,518",,17.35%,,,761,
6,October,2020,"3,031",,,"1,819",,17.03%,,,620,
7,October,2020,"3,618",,,"2,171",,17.45%,,,897,
8,October,2020,"4,527",,,"2,716",,12.98%,,,683,
9,October,2020,"2,956",,,"1,774",,18.43%,,,777,
10,October,2020,"1,533",,,920,,23.88%,,,487,
11,October,2020,"1,782",,,"1,069",,0.45%,,,16,
12,October,2020,"4,275",,,"2,565",,15.18%,,,1022,
13,October,2020,"3,089",,,"1,853",,18.56%,,,740,
14,October,2020,"3,895",,,"2,337",,16.93%,,,819,
15,October,2020,"4,419",,,"2,651",,16.26%,,,774,
16,October,2020,"3,701",,,"2,221",,15.83%,,,824,
17,October,2020,"1,672",,,"1,003",,25.56%,,,529,
18,October,2020,"1,763",,,"1,058",,1.40%,,,19,
19,October,2020,"3,491",,,"2,095",,21.18%,,,1063,
20,October,2020,"2,595",,,"1,557",,18.70%,,,709,
21,October,2020,"2,786",,,"1,672",,18.51%,,,668,
22,October,2020,"3,832",,,"2,299",,14.41%,,,739,
23,October,2020,"3,209",,,"1,925",,16.17%,,,846,
24,October,2020,"1,783",,,"1,070",,18.47%,,,491,
25,October,2020,"1,152",,,691,,0.69%,,,23,
26,October,2020,"3,956",,,"2,374",,16.33%,,,655,
27,October,2020,"2,195",,,"1,317",,25.11%,,,835,
28,October,2020,881,,,529,,0.79%,,,12,
