Day,Month,Year,daily_unit_sales,previous_year_daily_unit_sales,percentage_difference_daily_unit_sales,daily_unit_sales_kg,previous_year_daily_unit_sales_kg,percentage_difference_daily_unit_sales_kg,daily_unit_returns_kg,previous_year_daily_unit_returns_kg,points_of_distribution,previous_year_points_of_distribution,,
6,September,2022,"2,236","4,936",-54.70%,"1,342","2,962",-54.70%,9.60%,2.43%,651,845,,
7,September,2022,"3,297","3,342",-1.35%,"1,978","2,005",-1.35%,2.30%,2.02%,657,718,,
8,September,2022,"3,898","6,106",-36.16%,"2,339","3,664",-36.16%,1.38%,0.93%,583,655,,
9,September,2022,"3,911","4,885",-19.94%,"2,347","2,931",-19.94%,1.46%,1.37%,667,631,,
10,September,2022,"1,616","3,881",-58.36%,970,"2,329",-58.36%,5.19%,1.44%,480,680,,
11,September,2022,"1,352","2,097",-35.53%,811,"1,258",-35.53%,0.00%,1.68%,20,485,,
12,September,2022,"3,911","2,476",57.96%,"2,347","1,486",57.96%,2.45%,0.00%,718,17,,
13,September,2022,"3,083","2,960",4.16%,"1,850","1,776",4.16%,1.42%,5.28%,665,727,,
14,September,2022,"3,035","2,840",6.87%,"1,821","1,704",6.87%,1.02%,2.77%,614,593,,
15,September,2022,"2,775","2,839",-2.25%,"1,665","1,703",-2.25%,1.37%,4.02%,558,627,,
16,September,2022,"1,769","4,422",-60.00%,"1,061","2,653",-60.00%,4.06%,2.80%,663,625,,
17,September,2022,"1,603","3,586",-55.30%,962,"2,152",-55.30%,2.15%,3.40%,436,699,,
18,September,2022,"2,845","1,602",77.59%,"1,707",961,77.59%,0.38%,4.87%,28,520,,
19,September,2022,"3,948","2,372",66.44%,"2,369","1,423",66.44%,3.79%,0.67%,639,24,,
