Day,Month,Year,daily_unit_sales,previous_year_daily_unit_sales,percentage_difference_daily_unit_sales,daily_unit_sales_kg,previous_year_daily_unit_sales_kg,percentage_difference_daily_unit_sales_kg,daily_unit_returns_kg,previous_year_daily_unit_returns_kg,points_of_distribution,previous_year_points_of_distribution,,,,,,
23,July,2021,"3,319","4,628",-28.28%,"1,991","2,777",-28.28%,2.00%,11.91%,666,707,,,,,,
24,July,2021,"2,141","3,068",-30.22%,"1,285","1,841",-30.22%,1.11%,17.26%,522,761,,,,,,
25,July,2021,"2,487","1,429",74.04%,"1,492",857,74.04%,0.12%,23.09%,19,455,,,,,,
26,July,2021,"4,058",890,355.96%,"2,435",534,355.96%,1.47%,4.30%,825,22,,,,,,
27,July,2021,"3,662","3,954",-7.38%,"2,197","2,372",-7.38%,1.35%,13.89%,683,931,,,,,,
28,July,2021,"4,344","3,214",35.16%,"2,606","1,928",35.16%,0.93%,16.95%,713,721,,,,,,
29,July,2021,"4,693","3,071",52.82%,"2,816","1,843",52.82%,1.77%,18.48%,666,692,,,,,,
30,July,2021,"3,601","3,009",19.67%,"2,161","1,805",19.67%,2.29%,19.50%,728,762,,,,,,
31,July,2021,"1,838","2,434",-24.49%,"1,103","1,460",-24.49%,2.49%,19.86%,2366,1557,,,,,,
1,August,2021,"1,898","1,460",30.00%,"1,139",876,30.00%,0.99%,22.75%,26,498,,,,,,
2,August,2021,"3,866","1,843",109.77%,"2,320","1,106",109.77%,3.05%,4.16%,741,32,,,,,,
3,August,2021,"3,099","4,710",-34.20%,"1,859","2,826",-34.20%,3.71%,13.61%,600,742,,,,,,
4,August,2021,"4,256","2,171",96.04%,"2,554","1,303",96.04%,1.69%,22.99%,660,547,,,,,,
5,August,2021,"4,046","2,771",46.01%,"2,428","1,663",46.01%,1.81%,17.36%,578,506,,,,,,
6,August,2021,"3,152","3,611",-12.71%,"1,891","2,167",-12.71%,2.47%,15.25%,635,550,,,,,,
7,August,2021,"1,701","3,581",-52.50%,"1,021","2,149",-52.50%,1.29%,16.25%,454,662,,,,,,
8,August,2021,618,"1,225",-49.55%,371,735,-49.55%,0.31%,26.07%,19,447,,,,,,
9,August,2021,"4,400","1,866",135.80%,"2,640","1,120",135.80%,2.33%,2.51%,665,21,,,,,,
10,August,2021,"3,313","3,457",-4.17%,"1,988","2,074",-4.17%,1.75%,16.09%,600,793,,,,,,
11,August,2021,"3,393","2,395",41.67%,"2,036","1,437",41.67%,1.77%,21.53%,611,686,,,,,,
12,August,2021,"3,800","2,354",61.43%,"2,280","1,412",61.43%,1.07%,25.76%,531,689,,,,,,
